0,Combat,Aorta_Combat,Original
diagnostics_Image-original_Mean,0.003682498450411723,0.02041443067267381,0.006382059834990851
diagnostics_Image-original_Minimum,6.289008877179673e-33,0.033122635045725664,0.04147916072218587
diagnostics_Image-original_Maximum,0.012987760195260304,0.03430856459835216,0.03322620809948061
diagnostics_Mask-original_VoxelNum,0.19060136169595546,0.26049629244042904,0.24669683703182793
diagnostics_Mask-original_VolumeNum,0.16851848735636485,0.23524611114713792,0.22528240213601478
original_shape_Elongation,0.03858500914423746,0.014934135885346908,0.03417616840589685
original_shape_Flatness,0.010489200816702252,7.725376919766108e-06,0.0021888121030821626
original_shape_LeastAxisLength,0.511353165503461,0.6779242270248675,0.6795318836965769
original_shape_MajorAxisLength,0.5604349484339297,0.6878112516438819,0.7329023227942938
original_shape_Maximum2DDiameterColumn,0.5382848357938046,0.6044765249288058,0.6736891956403619
original_shape_Maximum2DDiameterRow,0.5748442933980115,0.6944836604034744,0.7321820226828131
original_shape_Maximum2DDiameterSlice,0.5409568041618834,0.6002761344595626,0.6719846125806095
original_shape_Maximum3DDiameter,0.543767784754833,0.6285007350352926,0.6973856504197333
original_shape_MeshVolume,0.18599871237583795,0.2524892099665111,0.24057879207141714
original_shape_MinorAxisLength,0.6032358870622754,0.7166789761857308,0.7724789066081995
original_shape_Sphericity,0.5818781604644292,0.6756395282446732,0.6814578155950981
original_shape_SurfaceArea,0.41814134349880017,0.5714640598877601,0.5928237338166744
original_shape_SurfaceVolumeRatio,0.10664553708450715,0.038978669262637614,0.08302256684679243
volume (cc),0.6514852256904624,0.9086539100820893,0.8789855768695684
original_firstorder_10Percentile,1.5576679540672164e-05,0.0053583258764371205,0.01815104382993646
original_firstorder_90Percentile,0.04245302013771356,0.043827707572100645,0.08822469095950503
original_firstorder_Energy,0.33599725691176496,0.1955921559509566,0.1722496550538292
original_firstorder_Entropy,0.15749399452383475,0.12177138414285942,0.15950088769107904
original_firstorder_InterquartileRange,0.02690720495982152,0.022508659374071524,0.02471086950393821
original_firstorder_Kurtosis,0.019154491187829553,0.0008880391338588156,0.0011802955934950617
original_firstorder_Maximum,0.0891652737781841,0.06283027463175916,0.10684117820369206
original_firstorder_MeanAbsoluteDeviation,0.07707935281045315,0.02939961825749825,0.033477844665573304
original_firstorder_Mean,0.013583841038490429,0.021638342178818566,0.05550806175810925
original_firstorder_Median,0.014161998775833148,0.021878421563790988,0.05719463941761588
original_firstorder_Minimum,0.14928520641735976,0.08656418320913935,0.09370708277852173
original_firstorder_Range,0.19121824227654421,0.12974960453709752,0.18940008710555795
original_firstorder_RobustMeanAbsoluteDeviation,0.038392070856366124,0.024125463776718373,0.026169812818236885
original_firstorder_RootMeanSquared,0.003541886517092886,0.015178550968216444,0.035338870070828046
original_firstorder_Skewness,0.02401768767840392,0.04600304111668682,0.07478037777104028
original_firstorder_TotalEnergy,0.33599725691176496,0.1955921559509566,0.1722496550538292
original_firstorder_Uniformity,0.09343640626415874,0.09667277177669667,0.10669713144070939
original_firstorder_Variance,0.10206174144798787,0.022094696118066234,0.01573903237476138
original_glcm_Autocorrelation,0.1720036491029217,0.20538131190523368,0.272465154145615
original_glcm_ClusterProminence,0.05307364863321163,8.839228423368703e-05,0.0003303157804538646
original_glcm_ClusterShade,0.009066041540041654,0.049356830800924026,0.04810324524047188
original_glcm_ClusterTendency,0.12017205703658014,0.028876378643767867,0.013219904132890281
original_glcm_Contrast,0.02032479164239668,0.0025964703996151396,2.2185295757669286e-05
original_glcm_Correlation,0.2823450584892827,0.15098157262095452,0.21136513271623356
original_glcm_DifferenceAverage,0.0037673030002304017,0.0011976601098092814,6.716086537563668e-05
original_glcm_DifferenceEntropy,0.07611552507701595,0.05340569843601647,0.05569531057471757
original_glcm_DifferenceVariance,0.061628835887693786,0.015633487592598732,0.006461448004539954
original_glcm_Id,0.003186218723792831,5.5525731499622446e-06,0.0027515267619004392
original_glcm_Idm,0.004730199203153943,2.219436446995714e-06,0.003159550482131565
original_glcm_Idmn,0.2315866773795313,0.109007508821725,0.1929124664376394
original_glcm_Idn,0.1861625693550709,0.08552902568769954,0.15846958985680726
original_glcm_Imc1,0.4154045889475897,0.31624398237269674,0.35074362041850976
original_glcm_Imc2,0.14881397348980688,0.11420819676339122,0.142526890270084
original_glcm_InverseVariance,0.0007859634116466206,0.00035623127421134887,0.0011182132301732746
original_glcm_JointAverage,0.196006177820826,0.21319460107646687,0.2983784615394792
original_glcm_JointEnergy,0.22086553947963378,0.1394905563336855,0.102998860520161
original_glcm_JointEntropy,0.29430645804506816,0.2642841957466552,0.3014994537384763
original_glcm_MCC,0.007528992901278502,0.005991768351464739,0.002108909257378982
original_glcm_MaximumProbability,0.14515012059047983,0.1013887735513545,0.10137178862579202
original_glcm_SumAverage,0.19600617768748613,0.21319460145101574,0.2983784615333155
original_glcm_SumEntropy,0.25342204406637686,0.1879957176480032,0.21576591934379832
original_glcm_SumSquares,0.08975175725131539,0.01954522270641394,0.009801928589261745
original_gldm_DependenceEntropy,0.34909479456116427,0.25204230211354406,0.3295624522767259
original_gldm_DependenceNonUniformity,0.41186148805620815,0.5355757373902489,0.5542128360416294
original_gldm_DependenceNonUniformityNormalized,0.06965672803976727,0.021093550568867202,0.04736071516572519
original_gldm_DependenceVariance,0.036706624455732695,0.013936641798156053,0.032540081997726074
original_gldm_GrayLevelNonUniformity,0.09125309367382932,0.14127675851925295,0.08619851600598802
original_gldm_GrayLevelVariance,0.10240687071110953,0.022127293870289225,0.01571506973975038
original_gldm_HighGrayLevelEmphasis,0.16605790663853448,0.19275264785244187,0.25792094843492863
original_gldm_LargeDependenceEmphasis,0.03563307067939196,0.014963704460799322,0.028269410447427458
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.09224023846716176,0.11027606489300326,0.14999617356237901
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.11923668611507988,0.13975486500813641,0.14228119645065915
original_gldm_LowGrayLevelEmphasis,0.2351824354054512,0.2134981752544709,0.2551668418719911
original_gldm_SmallDependenceEmphasis,0.047933784140897565,0.011941649819801163,0.026516632146243353
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.16313324275953747,0.14303049211707464,0.20039953622548484
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.27706618064666827,0.1805540942236432,0.24052338191298017
original_glrlm_GrayLevelNonUniformity,0.1161363366651186,0.17909656015541742,0.11774066789022243
original_glrlm_GrayLevelNonUniformityNormalized,0.1320163474843673,0.11811248425469187,0.13395931895431512
original_glrlm_GrayLevelVariance,0.11673634916233828,0.02098375901070031,0.015441641150696933
original_glrlm_HighGrayLevelRunEmphasis,0.16619522710960902,0.19206423495750488,0.2545129709730252
original_glrlm_LongRunEmphasis,0.038713140928716215,0.017091978417040618,0.030334150651945908
original_glrlm_LongRunHighGrayLevelEmphasis,0.1343490015525263,0.1584741958343749,0.21097064982204258
original_glrlm_LongRunLowGrayLevelEmphasis,0.23006974077264222,0.24042636547880616,0.2780307697227077
original_glrlm_LowGrayLevelRunEmphasis,0.2430398153324898,0.2196543793305169,0.26133418338199804
original_glrlm_RunEntropy,0.30619617690919654,0.206001807338973,0.281379888588092
original_glrlm_RunLengthNonUniformity,0.27355097803139944,0.3533282911886386,0.37816418355500764
original_glrlm_RunLengthNonUniformityNormalized,0.03989565876198651,0.012904647192732373,0.024772588978060783
original_glrlm_RunPercentage,0.04110745471834133,0.01583132602716062,0.028852202919368013
original_glrlm_RunVariance,0.0414770088133823,0.020718084884961244,0.035475666213109824
original_glrlm_ShortRunEmphasis,0.03741392921008181,0.012556271405142134,0.02300297208439588
original_glrlm_ShortRunHighGrayLevelEmphasis,0.17172775626262837,0.19640996481912243,0.2597490959294797
original_glrlm_ShortRunLowGrayLevelEmphasis,0.24543588047610368,0.2144661777891466,0.2577928916988054
original_glszm_GrayLevelNonUniformity,0.33612872181642967,0.4660797492888077,0.4690881489898717
original_glszm_GrayLevelNonUniformityNormalized,0.26400570519586714,0.1270238850503477,0.181335771043775
original_glszm_GrayLevelVariance,0.0941331901549878,0.0016276762897607735,0.0056030987975108325
original_glszm_HighGrayLevelZoneEmphasis,0.1640631088511799,0.15726071879463838,0.20747267555338056
original_glszm_LargeAreaEmphasis,0.025578754137196402,0.0419194450415062,0.019063762407862405
original_glszm_LargeAreaHighGrayLevelEmphasis,0.026589251217580254,0.06331803010234423,0.02229518703475543
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0067665020794575505,0.007835215324328484,0.012424780511169561
original_glszm_LowGrayLevelZoneEmphasis,0.2940662724597326,0.24994610609061077,0.31014839297989283
original_glszm_SizeZoneNonUniformity,0.38341780811483156,0.49023233016718243,0.5157274514512091
original_glszm_SizeZoneNonUniformityNormalized,0.004770903311493062,0.0021728070428383315,0.0008015017633164362
original_glszm_SmallAreaEmphasis,0.0015488782188825552,0.0005131739460542973,1.875467692245744e-05
original_glszm_SmallAreaHighGrayLevelEmphasis,0.16712108487407923,0.14437257503982204,0.20111408117424573
original_glszm_SmallAreaLowGrayLevelEmphasis,0.29182929557574644,0.22255934692729035,0.2912874166015955
original_glszm_ZoneEntropy,0.41971861681396716,0.2701958495370139,0.33484578968717404
original_glszm_ZonePercentage,0.05315554470127496,0.013732891579888084,0.02997164467710307
original_glszm_ZoneVariance,0.025560777393073754,0.042018536032350895,0.01907032886411526
original_ngtdm_Busyness,0.12819431138386714,0.18801207203656672,0.1733656198256018
original_ngtdm_Coarseness,0.4573626585813241,0.2884016355416278,0.19776044247360688
original_ngtdm_Complexity,0.11979203721263922,0.10401441981197952,0.10183006654618647
original_ngtdm_Contrast,0.09507286828220524,0.09234686783035206,0.1140375411262155
original_ngtdm_Strength,0.1168444950282758,0.18805726153442218,0.11218360389746855
