,Pre,PreN1,PreN2,PreN3,PreN4,PreN5,PreN6
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,e8538daffd65cb9198a196399ab1a0c8f86b1d5a,ce95da837175dd11bbe67beb792cd5df549b3afe,6d121e94f075956b65993826fd067bca8658b5eb,ec5ed423640e8b07956cc9a6ec46ad67ca2fd65f,61b7f5957d02fcbe7ed6b7c5e6a765b1e8021761,70493bcf037ed1883a5cefe9b24525d540a58c2a,14d686c0d37aec26415a5ee0d6eab7ff5db4d81c
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Image-original_Mean,-1204.314255,-764.7614852,-1171.405513,-1227.183694,-1190.85532,-1120.142927,-1153.719511
diagnostics_Image-original_Minimum,-3024,-1024,-3024,-3024,-3024,-3024,-3024
diagnostics_Image-original_Maximum,3071,3071,3071,3071,3071,3071,3071
diagnostics_Mask-original_Hash,f5a9f5dc7a2be2f5b16130d8b2c2318ec4c6da22,1fd399cb59e7f5701e49e49ee179eb9ba7cfd744,e7adc3cd37cd46e68dcde13426b2f73c9cb6b154,c7841f644bc684d295d080a2b04d454c942e93b5,ee5753e613bfbad991f09fd1a572be18fe749cf6,fa8aa5957065690c563d551e990131e9cf4abfe5,c4ff4ffc0cb1f70edcea017da483bd856f237c97
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Mask-original_BoundingBox,"(180, 301, 141, 27, 21, 14)","(201, 326, 106, 18, 17, 9)","(156, 288, 144, 12, 26, 7)","(216, 287, 151, 26, 26, 16)","(170, 310, 121, 29, 24, 16)","(154, 290, 157, 30, 35, 16)","(169, 304, 115, 29, 25, 16)"
diagnostics_Mask-original_VoxelNum,1509,530,194,313,386,421,379
diagnostics_Mask-original_VolumeNum,1,1,1,11,5,10,10
diagnostics_Mask-original_CenterOfMassIndex,"(194.8727634194831, 310.012591119947, 147.80914512922465)","(211.14905660377357, 331.59622641509435, 109.79245283018868)","(162.30927835051546, 299.5257731958763, 147.39175257731958)","(228.71565495207668, 298.7667731629393, 159.33226837060704)","(184.8678756476684, 320.56476683937825, 128.67357512953367)","(169.70546318289786, 309.75296912114015, 165.2042755344418)","(183.37203166226914, 315.0369393139842, 123.4089709762533)"
diagnostics_Mask-original_CenterOfMass,"(194.8727634194831, 310.012591119947, 147.80914512922465)","(211.14905660377357, 331.59622641509435, 109.79245283018868)","(162.30927835051546, 299.5257731958763, 147.39175257731958)","(228.71565495207668, 298.7667731629393, 159.33226837060704)","(184.8678756476684, 320.56476683937825, 128.67357512953367)","(169.70546318289786, 309.75296912114015, 165.2042755344418)","(183.37203166226914, 315.0369393139842, 123.4089709762533)"
original_shape_Elongation,0.681627007,0.88380799,0.230034269,0.764941096,0.820220006,0.77483198,0.709952533
original_shape_Flatness,0.443765746,0.47121235,0.135683702,0.475322286,0.405570443,0.371881355,0.431653661
original_shape_LeastAxisLength,10.13326076,6.420757647,3.71578865,11.5945954,10.74895554,11.45148588,12.48477293
original_shape_MajorAxisLength,22.83470697,13.62603856,27.3856668,24.39312386,26.50330104,30.79338539,28.92312534
original_shape_Maximum2DDiameterColumn,27.29468813,17,9.055385138,26.17250466,29.06888371,30.06659276,28.86173938
original_shape_Maximum2DDiameterRow,19.92485885,17.02938637,22.36067977,22.20360331,18.97366596,33.13608305,21.02379604
original_shape_Maximum2DDiameterSlice,26.57066051,18.78829423,25.3179778,25.70992026,31.38470965,38.01315562,29.83286778
original_shape_Maximum3DDiameter,27.36786437,20.22374842,26.47640459,26.4952826,32.26453161,38.01315562,32.01562119
original_shape_MeshVolume,1480.375,507.5833333,168.7083333,253.25,320.5,356.7916667,330.1666667
original_shape_MinorAxisLength,15.56475297,12.04280175,6.299641841,18.65930291,21.73853774,23.85969977,20.53404611
original_shape_Sphericity,0.346887465,0.564761514,0.447574314,0.307869135,0.315186862,0.303243106,0.315304759
original_shape_SurfaceArea,1810.825826,544.8671178,329.895704,628.7590883,718.5682775,802.237556,732.6711355
original_shape_SurfaceVolumeRatio,1.223221026,1.073453524,1.955420325,2.482760467,2.242022707,2.248476158,2.219094807
original_shape_VoxelVolume,1509,530,194,313,386,421,379
original_firstorder_10Percentile,-727.2,-981,-725.7,-736,-728.5,-735,-736
original_firstorder_90Percentile,-298,-74.9,-411.3,-303,-376.5,-372,-386.6
original_firstorder_Energy,483330026,365715170,69928412,110302616,138315389,153925456,145735028
original_firstorder_Entropy,4.676251184,4.355588351,3.952360524,4.256682318,4.161207677,4.158458775,3.993576255
original_firstorder_InterquartileRange,230,247.5,188.5,239,198,204,160
original_firstorder_Kurtosis,4.378384542,5.183529367,2.366814391,5.999897146,5.539633982,7.267090192,7.278074388
original_firstorder_Maximum,261,543,-289,295,40,220,153
original_firstorder_MeanAbsoluteDeviation,140.3931384,277.8247917,98.04548836,151.9669487,123.0269001,138.053306,128.4895538
original_firstorder_Mean,-537.1278993,-743.1018868,-588.7319588,-558.4600639,-576.2512953,-573.7244656,-592.1688654
original_firstorder_Median,-573,-923.5,-603,-621,-631.5,-637,-651
original_firstorder_Minimum,-944,-1013,-750,-750,-750,-750,-750
original_firstorder_Range,1205,1556,461,1045,790,970,903
original_firstorder_RobustMeanAbsoluteDeviation,97.90260021,157.9546574,73.70821386,100.90272,79.71162928,82.85401491,69.5095082
original_firstorder_RootMeanSquared,565.9489623,830.6796149,600.3796565,593.6366936,598.6067351,604.6640888,620.100911
original_firstorder_Skewness,1.02326881,1.812629007,0.567659917,1.671275459,1.582535503,1.991914248,2.109173093
original_firstorder_TotalEnergy,483330026,365715170,69928412,110302616,138315389,153925456,145735028
original_firstorder_Uniformity,0.047930223,0.092039872,0.072908917,0.076013841,0.071290504,0.077403084,0.089410405
original_firstorder_Variance,31791.84779,137828.2085,13850.41269,40526.88099,26264.46794,36458.89795,33861.17465
original_glcm_Autocorrelation,359.0539487,306.6401744,66.40573055,115.886229,87.34785461,105.3991186,97.68546851
original_glcm_ClusterProminence,91049.09556,2565051.581,6977.450757,204190.0773,82210.05859,239882.4135,215820.8475
original_glcm_ClusterShade,1592.9882,32749.80833,102.600078,3985.293919,1983.926816,4862.995256,4868.702666
original_glcm_ClusterTendency,150.1746855,767.0349299,53.23931372,182.3196425,123.8156528,188.9811153,189.9080152
original_glcm_Contrast,53.94186449,172.4956429,44.36569572,88.9492547,61.97246217,76.36799099,56.70331805
original_glcm_Correlation,0.471607763,0.635061616,0.098011826,0.325346956,0.317995596,0.400507269,0.515900617
original_glcm_DifferenceAverage,5.589398704,7.726558274,5.347153654,7.020900488,5.896447743,6.271048361,5.213460195
original_glcm_DifferenceEntropy,3.911403494,4.067554822,3.628879564,4.040376281,3.903551236,3.983889948,3.698651267
original_glcm_DifferenceVariance,21.99661833,108.3137049,14.78429806,38.85764444,26.43669489,35.95867097,29.07953878
original_glcm_Id,0.266708158,0.375536652,0.267292042,0.247934811,0.268428236,0.270326996,0.301762945
original_glcm_Idm,0.175290367,0.321361652,0.175692639,0.16352314,0.179292544,0.184226464,0.212353141
original_glcm_Idmn,0.979378733,0.964727148,0.904797217,0.957594128,0.950199404,0.958747366,0.96617077
original_glcm_Idn,0.903769405,0.907344128,0.800041117,0.869152564,0.858382774,0.874677602,0.888382371
original_glcm_Imc1,-0.143720393,-0.377951879,-0.330895594,-0.398014475,-0.295663554,-0.294504515,-0.329136324
original_glcm_Imc2,0.859025689,0.981504366,0.961517306,0.984109059,0.958126479,0.957821339,0.963914907
original_glcm_InverseVariance,0.176966026,0.274795965,0.174391617,0.1617738,0.17314336,0.183135662,0.200187612
original_glcm_JointAverage,18.30238931,12.56895673,8.00411383,9.592153719,8.455605886,8.769193014,7.990588548
original_glcm_JointEnergy,0.002886702,0.016379233,0.010551586,0.009065368,0.007846291,0.007621801,0.010414907
original_glcm_JointEntropy,8.786620924,7.231915026,6.753470262,7.061139185,7.290264764,7.328050706,6.938977419
original_glcm_MCC,0.744256441,0.811261527,0.63048131,0.986438,0.765877598,0.814070084,0.935333241
original_glcm_MaximumProbability,0.007902877,0.064892793,0.026179345,0.029501189,0.024353533,0.02166623,0.028797208
original_glcm_SumAverage,36.60477862,25.13791347,16.00822766,19.18430744,16.91121177,17.53838603,15.9811771
original_glcm_SumEntropy,5.479825746,5.352124684,4.558775373,4.910143363,4.906944522,4.968005,4.753753548
original_glcm_SumSquares,51.02913749,234.8826432,24.40125236,67.8172243,46.44702873,66.33727658,61.65283331
original_gldm_DependenceEntropy,6.501562871,6.689616344,5.418165825,5.403979748,5.559998051,5.540145066,5.393424004
original_gldm_DependenceNonUniformity,430.6686547,76.61509434,66.1443299,129.3897764,138.0103627,151.4180523,125.3060686
original_gldm_DependenceNonUniformityNormalized,0.285400036,0.144556782,0.340950154,0.413385867,0.3575398,0.359662832,0.330622872
original_gldm_DependenceVariance,1.240111353,9.865517978,0.891911999,0.657371209,1.018926683,0.768930439,0.86718973
original_gldm_GrayLevelNonUniformity,72.32670643,48.78113208,14.1443299,23.79233227,27.51813472,32.58669834,33.88654354
original_gldm_GrayLevelVariance,50.85533014,220.7199858,22.13402062,64.75309537,41.88488282,58.76070435,54.12507571
original_gldm_HighGrayLevelEmphasis,341.186216,360.0490566,71.13402062,131.9616613,97.39896373,116.2826603,101.2955145
original_gldm_LargeDependenceEmphasis,5.756792578,26.26037736,4.412371134,3.28115016,4.32642487,3.883610451,4.366754617
original_gldm_LargeDependenceHighGrayLevelEmphasis,2001.972167,1144.067925,318.6185567,243.7827476,346.9015544,329.4465558,265.005277
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.072168739,3.284107333,0.674621487,1.118787804,0.847641355,1.054792397,1.021438387
original_gldm_LowGrayLevelEmphasis,0.00903146,0.092649207,0.15666246,0.230538969,0.168957428,0.213699245,0.219292493
original_gldm_SmallDependenceEmphasis,0.456713233,0.349683426,0.524073597,0.649028222,0.567276532,0.580075878,0.541305336
original_gldm_SmallDependenceHighGrayLevelEmphasis,162.9291352,256.17087,36.4888488,110.8130547,58.0267759,73.96903998,70.12890281
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.003460128,0.015852088,0.074592388,0.108042858,0.072343495,0.110322449,0.092992765
original_glrlm_GrayLevelNonUniformity,69.26353527,37.14239994,13.65804875,22.83634036,26.5243818,31.31911669,32.38877032
original_glrlm_GrayLevelNonUniformityNormalized,0.047980323,0.079196329,0.072870371,0.074730498,0.07096162,0.076645822,0.08841181
original_glrlm_GrayLevelVariance,51.1988576,236.4773369,22.15050018,65.3400047,42.03140726,58.9634921,54.85966312
original_glrlm_HighGrayLevelRunEmphasis,341.1934268,400.648485,71.04651328,133.9271017,97.9531436,117.2413531,102.8988695
original_glrlm_LongRunEmphasis,1.139783582,1.469124631,1.113141343,1.077393463,1.107086401,1.093374462,1.10795718
original_glrlm_LongRunHighGrayLevelEmphasis,388.8518541,426.4970231,79.45124296,137.8721289,106.5311582,125.0474886,108.6933922
original_glrlm_LongRunLowGrayLevelEmphasis,0.010588762,0.146471762,0.174010892,0.255800233,0.189885226,0.237386833,0.246312134
original_glrlm_LowGrayLevelRunEmphasis,0.008876656,0.088375479,0.156573036,0.226948788,0.167429765,0.211860866,0.21809513
original_glrlm_RunEntropy,4.917932749,4.995520895,4.104105348,4.393984036,4.319283685,4.326509627,4.180532707
original_glrlm_RunLengthNonUniformity,1323.675418,375.34441,175.8898655,291.8215754,352.6091063,385.2284462,342.8708458
original_glrlm_RunLengthNonUniformityNormalized,0.916401265,0.799858469,0.93676851,0.954609738,0.942467608,0.942259738,0.93572037
original_glrlm_RunPercentage,0.956721211,0.882728592,0.96629659,0.976161219,0.968513352,0.970582861,0.966511061
original_glrlm_RunVariance,0.046386452,0.177183423,0.038837326,0.026950048,0.039221234,0.03092027,0.036859389
original_glrlm_ShortRunEmphasis,0.966853253,0.913497048,0.974693002,0.982270129,0.977232075,0.977422842,0.974805481
original_glrlm_ShortRunHighGrayLevelEmphasis,329.8859023,394.9459478,69.20941922,132.965707,96.08480197,115.2928851,101.4595736
original_glrlm_ShortRunLowGrayLevelEmphasis,0.00845668,0.077701714,0.1523716,0.220238963,0.162427591,0.205670989,0.211873778
original_glszm_GrayLevelNonUniformity,39.41586538,5.776699029,8.837398374,13.66666667,16.74901961,19.64310954,17.67782427
original_glszm_GrayLevelNonUniformityNormalized,0.047374838,0.028042228,0.071848767,0.05994152,0.06568243,0.069410281,0.073965792
original_glszm_GrayLevelVariance,58.05978267,289.9620369,21.7137947,72.033241,41.90302191,60.05271635,63.11482642
original_glszm_HighGrayLevelZoneEmphasis,352.5204327,733.6165049,70.14634146,160.7894737,104.5921569,127.2579505,124.9246862
original_glszm_LargeAreaEmphasis,5.484375,52.57281553,3.463414634,2.557017544,3.325490196,3.113074205,3.753138075
original_glszm_LargeAreaHighGrayLevelEmphasis,1796.704327,1889.679612,248.1626016,229.8859649,274.1490196,289.8339223,257.2761506
original_glszm_LargeAreaLowGrayLevelEmphasis,0.049314713,6.579842465,0.542475099,0.7916994,0.692321758,0.728983972,0.934338606
original_glszm_LowGrayLevelZoneEmphasis,0.008298564,0.051206667,0.147709353,0.181960286,0.135763261,0.197386823,0.184310313
original_glszm_SizeZoneNonUniformity,356.7115385,115.0970874,57.99186992,140.9912281,134.7254902,153.7773852,123.0753138
original_glszm_SizeZoneNonUniformityNormalized,0.42873983,0.558723725,0.471478617,0.618382579,0.528335256,0.543382986,0.514959472
original_glszm_SmallAreaEmphasis,0.679712951,0.773578147,0.710348847,0.813818226,0.754590898,0.765693954,0.745649988
original_glszm_SmallAreaHighGrayLevelEmphasis,249.028944,619.0569556,49.14001581,147.4378423,78.371271,99.2925903,103.1389984
original_glszm_SmallAreaLowGrayLevelEmphasis,0.005180335,0.027915278,0.096163883,0.123127485,0.084418585,0.143305213,0.112049329
original_glszm_ZoneEntropy,6.250148303,6.319413149,5.117494206,5.317606601,5.265409649,5.353441232,5.297230742
original_glszm_ZonePercentage,0.551358516,0.388679245,0.634020619,0.728434505,0.660621762,0.672209026,0.63060686
original_glszm_ZoneVariance,2.194860334,45.95343576,0.975741953,0.672418436,1.034125336,0.900023724,1.23845871
original_ngtdm_Busyness,0.294498048,0.23266279,0.704614372,0.676486125,0.771389065,0.74654775,0.754020705
original_ngtdm_Coarseness,0.003989937,0.009150111,0.019194639,0.009036111,0.009729274,0.007666247,0.009026303
original_ngtdm_Complexity,4184.200596,7561.030726,605.3360507,3643.094055,2094.08444,3206.396772,2685.331435
original_ngtdm_Contrast,0.166463296,0.639543618,0.484656075,0.51488651,0.392123304,0.420958496,0.347724719
original_ngtdm_Strength,5.427628767,41.56152147,3.198124489,14.8341468,7.665865525,11.3648369,14.67258474
