,Pre,PreN1,PreN2,PreN3
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,8b41fa82fa32d3077e4c0058a605a1b3de055fee,ae0ed9bf1695b0af19c78e16ba61d41cb573b538,6d23f338e5f56ecb94bfaaf35a55d55152815043,5bf30e246bfbf4d06ec94ab2e27a639a6307822f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 223)","(512, 512, 273)","(512, 512, 256)","(512, 512, 297)"
diagnostics_Image-original_Mean,-516.543109,-1104.142686,-996.640066,-1123.891351
diagnostics_Image-original_Minimum,-1024,-3024,-3024,-3024
diagnostics_Image-original_Maximum,3071,3071,3071,2703
diagnostics_Mask-original_Hash,798a5815c8b55184cefd6f10625bb74f4c06a8d7,28e34444464693270c8a49d8951c5e40c73f95e7,b29df10d5c30508981ae740e5d6e64ec93a780bd,4ed307e7bb4f6b1203c699f4bd2df4bdc909da3c
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 223)","(512, 512, 273)","(512, 512, 256)","(512, 512, 297)"
diagnostics_Mask-original_BoundingBox,"(170, 326, 134, 43, 36, 17)","(210, 298, 174, 34, 26, 20)","(202, 315, 159, 40, 32, 20)","(204, 309, 191, 31, 22, 20)"
diagnostics_Mask-original_VoxelNum,7493,5049,7166,4171
diagnostics_Mask-original_VolumeNum,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(191.11383958361137, 346.7453623381823, 142.48925663953023)","(226.44721727074668, 313.00812041988513, 183.61021984551397)","(221.46413619871615, 333.0379570192576, 169.31300586101034)","(219.40134260369217, 321.2716374970031, 200.8607048669384)"
diagnostics_Mask-original_CenterOfMass,"(191.11383958361137, 346.7453623381823, 142.48925663953023)","(226.44721727074668, 313.00812041988513, 183.61021984551397)","(221.46413619871615, 333.0379570192576, 169.31300586101034)","(219.40134260369217, 321.2716374970031, 200.8607048669384)"
original_shape_Elongation,0.605756959,0.599391078,0.594818497,0.60489033
original_shape_Flatness,0.355429749,0.489581949,0.443845563,0.569326959
original_shape_LeastAxisLength,13.62693956,14.81891217,15.64724748,15.4355191
original_shape_MajorAxisLength,38.33933317,30.26850193,35.25381074,27.11187105
original_shape_Maximum2DDiameterColumn,40.44749683,33.24154028,38.11823711,31.78049716
original_shape_Maximum2DDiameterRow,31.40063694,23.53720459,28.44292531,20.88061302
original_shape_Maximum2DDiameterSlice,42.44997055,33.42154993,39.45883931,31.01612484
original_shape_Maximum3DDiameter,44.55333882,35.44009029,41.09744518,32.15587038
original_shape_MeshVolume,7434.708333,4980.458333,7146.958333,4123.75
original_shape_MinorAxisLength,23.22431785,18.14266999,20.96961872,16.39970861
original_shape_Sphericity,0.594245523,0.61540232,0.623615327,0.619771403
original_shape_SurfaceArea,3099.993833,2291.770913,2877.275917,2006.538407
original_shape_SurfaceVolumeRatio,0.4169624,0.460152612,0.402587476,0.486581002
original_shape_VoxelVolume,7493,5049,7166,4171
original_firstorder_10Percentile,-907,-929,-916,-928
original_firstorder_90Percentile,106,129,75,98
original_firstorder_Energy,2426419925,2167591300,3021087546,1875076014
original_firstorder_Entropy,5.168679974,5.147741838,5.010870173,5.135939236
original_firstorder_InterquartileRange,889,838,852,752
original_firstorder_Kurtosis,1.444102682,1.587457022,1.522162444,1.742100532
original_firstorder_Maximum,232,229,225,261
original_firstorder_MeanAbsoluteDeviation,358.8175,379.2662604,366.5026625,359.5092231
original_firstorder_Mean,-404.4151875,-504.6369578,-510.8230533,-536.5380005
original_firstorder_Median,-442,-692,-701.5,-724
original_firstorder_Minimum,-1017,-1024,-1024,-1024
original_firstorder_Range,1249,1253,1249,1285
original_firstorder_RobustMeanAbsoluteDeviation,315.5491179,330.0145649,323.5821106,305.8796184
original_firstorder_RootMeanSquared,569.0561424,655.2182935,649.2967864,670.4854291
original_firstorder_Skewness,0.051879159,0.496023887,0.470303942,0.606682198
original_firstorder_TotalEnergy,2426419925,2167591300,3021087546,1875076014
original_firstorder_Uniformity,0.035729971,0.036894877,0.041379973,0.03756383
original_firstorder_Variance,160273.2493,174652.5529,160646.125,161677.6847
original_glcm_Autocorrelation,883.5481206,739.3478502,708.4611676,665.2210922
original_glcm_ClusterProminence,1435834.544,1734310.138,1435227.632,1604865.561
original_glcm_ClusterShade,2046.621237,14498.51054,12413.78558,16152.49035
original_glcm_ClusterTendency,997.450982,1052.968666,982.6569931,978.4431995
original_glcm_Contrast,13.06674764,79.97052473,60.1372996,78.83833494
original_glcm_Correlation,0.974080986,0.859033977,0.884822225,0.851165814
original_glcm_DifferenceAverage,2.570527138,5.716398133,4.856665844,5.68969318
original_glcm_DifferenceEntropy,2.904823413,3.965782937,3.735850795,3.949944843
original_glcm_DifferenceVariance,6.006210959,45.62279578,35.13978493,44.53234634
original_glcm_Id,0.428035007,0.35402944,0.381082,0.351322307
original_glcm_Idm,0.354041532,0.286073224,0.314444396,0.281922911
original_glcm_Idmn,0.995098722,0.973544177,0.979615234,0.974718523
original_glcm_Idn,0.954010267,0.910438663,0.922154619,0.912105868
original_glcm_Imc1,-0.353602795,-0.221451639,-0.22517354,-0.220433278
original_glcm_Imc2,0.985357808,0.942158594,0.939571175,0.941361027
original_glcm_InverseVariance,0.347501989,0.259878453,0.287795181,0.258049235
original_glcm_JointAverage,25.24765135,22.27171328,21.85832766,20.98274328
original_glcm_JointEnergy,0.00522468,0.004681621,0.005599248,0.004198279
original_glcm_JointEntropy,8.524263361,9.21978794,8.936932446,9.199691808
original_glcm_MCC,0.979975371,0.879302023,0.89488394,0.864695053
original_glcm_MaximumProbability,0.019278033,0.030740267,0.026507571,0.022043084
original_glcm_SumAverage,50.4953027,44.54342655,43.71665532,41.96548655
original_glcm_SumEntropy,6.076524511,6.184707105,6.020372738,6.160250194
original_glcm_SumSquares,252.6294324,283.2347977,260.6985732,264.3203836
original_gldm_DependenceEntropy,8.082500747,7.796041684,7.852183683,7.776703338
original_gldm_DependenceNonUniformity,882.7816629,708.9718756,865.9042702,597.6823304
original_gldm_DependenceNonUniformityNormalized,0.117814182,0.140418276,0.120835092,0.143294733
original_gldm_DependenceVariance,7.055397957,12.72982298,12.81984772,11.41459476
original_gldm_GrayLevelNonUniformity,267.7246764,186.2822341,296.5288864,156.6787341
original_gldm_GrayLevelVariance,256.7099664,279.4778391,256.9435642,258.5688334
original_gldm_HighGrayLevelEmphasis,899.0040037,734.7326203,701.8085403,661.2296811
original_gldm_LargeDependenceEmphasis,27.54210597,29.64408794,32.84566006,27.30927835
original_gldm_LargeDependenceHighGrayLevelEmphasis,30570.02282,41207.56407,39455.777,31827.76385
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.32148898,0.980896251,0.867181114,1.111104542
original_gldm_LowGrayLevelEmphasis,0.013633928,0.030198034,0.023365396,0.03671509
original_gldm_SmallDependenceEmphasis,0.174564864,0.317383947,0.273210953,0.323388321
original_gldm_SmallDependenceHighGrayLevelEmphasis,139.6488188,200.2290902,164.4033786,189.6029224
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.002572662,0.005494782,0.003717439,0.006149686
original_glrlm_GrayLevelNonUniformity,214.2809537,150.7963248,234.3433391,129.026991
original_glrlm_GrayLevelNonUniformityNormalized,0.033084522,0.033913304,0.037721469,0.03493875
original_glrlm_GrayLevelVariance,250.7550079,258.3298213,239.6283814,241.7835878
original_glrlm_HighGrayLevelRunEmphasis,878.512898,682.6264484,656.2556279,625.0491809
original_glrlm_LongRunEmphasis,1.542385287,1.499164476,1.568776795,1.461790953
original_glrlm_LongRunHighGrayLevelEmphasis,1447.98207,1288.191944,1267.205451,1087.798286
original_glrlm_LongRunLowGrayLevelEmphasis,0.020408198,0.046471534,0.037575708,0.05652403
original_glrlm_LowGrayLevelRunEmphasis,0.013800746,0.029235315,0.022670632,0.035336247
original_glrlm_RunEntropy,5.851900681,5.730382558,5.670960091,5.70060609
original_glrlm_RunLengthNonUniformity,4983.448956,3589.05863,4872.487128,2992.364052
original_glrlm_RunLengthNonUniformityNormalized,0.768112405,0.806304548,0.783234863,0.80934901
original_glrlm_RunPercentage,0.864375982,0.880280939,0.866345349,0.885122549
original_glrlm_RunVariance,0.199689668,0.204237498,0.230352143,0.181377626
original_glrlm_ShortRunEmphasis,0.898322499,0.916659815,0.905407157,0.918288567
original_glrlm_ShortRunHighGrayLevelEmphasis,776.4027435,598.9985041,570.2796296,554.7207338
original_glrlm_ShortRunLowGrayLevelEmphasis,0.012474918,0.025907739,0.019913084,0.031242029
original_glszm_GrayLevelNonUniformity,31.23871907,43.50111607,55.8136847,37.05481283
original_glszm_GrayLevelNonUniformityNormalized,0.022735603,0.024275176,0.02580383,0.02476926
original_glszm_GrayLevelVariance,198.78027,168.8996056,150.413314,158.9734975
original_glszm_HighGrayLevelZoneEmphasis,781.2612809,619.8219866,591.4521498,575.0407754
original_glszm_LargeAreaEmphasis,881.2583697,145.719308,333.6652797,118.4512032
original_glszm_LargeAreaHighGrayLevelEmphasis,1136958.33,253488.4738,495389.8696,151858.018
original_glszm_LargeAreaLowGrayLevelEmphasis,9.116400829,1.808910718,2.815517988,2.048793943
original_glszm_LowGrayLevelZoneEmphasis,0.01566601,0.019799443,0.014878516,0.020946065
original_glszm_SizeZoneNonUniformity,439.4381368,862.9397321,1000.695793,740.4799465
original_glszm_SizeZoneNonUniformityNormalized,0.319823971,0.48155119,0.46264253,0.494973226
original_glszm_SmallAreaEmphasis,0.585110469,0.721307774,0.70721288,0.731209195
original_glszm_SmallAreaHighGrayLevelEmphasis,463.9792235,465.7079215,435.922258,431.3758663
original_glszm_SmallAreaLowGrayLevelEmphasis,0.009309907,0.010378415,0.007882601,0.011380052
original_glszm_ZoneEntropy,7.624593855,6.993600075,7.005506423,6.887839268
original_glszm_ZonePercentage,0.183371146,0.354921767,0.301842032,0.358666986
original_glszm_ZoneVariance,851.5185727,137.780876,322.6893689,110.6776927
original_ngtdm_Busyness,0.217525379,0.445276787,0.537806011,0.401461277
original_ngtdm_Coarseness,0.003219541,0.002116633,0.001646379,0.002522201
original_ngtdm_Complexity,1536.615201,3526.309174,2858.681045,3738.877985
original_ngtdm_Contrast,0.27600301,0.669385963,0.526375099,0.592936809
original_ngtdm_Strength,4.705060223,3.4260496,2.701399051,4.306756269
