0,1Test,2Test,3Test,4Test,5Test,6Test,7Test,8Test,9Test,10Test,11Test,12Test,13Test,14Test,15Test,16Test,17Test,18Test,19Test,20Test,21Test,22Test,23Test,24Test
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,02bf3d79a4b33b38c644d683782f7cb1e0697744,b2810899f384004149511b2e9d03eab32cbbc871,c72cce500017c3b36a6fc40baf08e886f51a5b4b,aa74a28d90b14d5ada027eae6496d5922e3756ab,583e883ac939437d32c5140495db1ce2bd51f442,ea0cd200253bc1b33f47c5e048f7b14ba300e196,f7b4f99ad0b9b89a4e2677cd0f638c08295a421a,51d240f12907432302690cd72bd070b670252822,4fbc05f872e8aa7143c9984396d589a43482d8b9,f2c991031521da3565e191d0ac021ba7f519d0fb,2e5270e23979ffef57c84c48f7de9026020d5c9d,25b4e5ea122fe3c0b9d71938caf7dfaaaca4ef92,63d42cfd398422a5810903c40e9deb83b4172db2,2d0ae089002bd6e1136a0e94407beb822c6f9404,7e71a187b2d9b4af73997f5b679a82072463b42a,f25d61f6615dc9884589c71458b450db42ac8c73,6c5f1a5e21f58f52af2548f3b8624c3e17822c3a,c89b6e23404f1aac9e5b97ad114cd9bf3f065b9f,6592faf137f70c5b4c88c6c76d169244d1d020d9,d8f1fc56776657d22ac144e19c2a6086703d0013,5f63a8db711f1d9843a280d42238b34bf6609828,14f6224b8cb199cc942f87514b3429e02cd7cdcf,14f6224b8cb199cc942f87514b3429e02cd7cdcf,5948e87b8d2da1ffa94337d0de175f1afe3431b5
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 236)","(512, 512, 237)","(512, 512, 265)","(512, 512, 249)","(512, 512, 253)","(512, 512, 253)","(512, 512, 261)","(512, 512, 261)","(512, 512, 253)","(512, 512, 225)","(512, 512, 225)","(512, 512, 189)","(512, 512, 193)","(512, 512, 213)","(512, 512, 249)","(512, 512, 245)","(512, 512, 225)","(512, 512, 281)","(512, 512, 249)","(512, 512, 253)","(512, 512, 217)","(512, 512, 221)","(512, 512, 221)","(512, 512, 213)"
diagnostics_Image-original_Mean,-877.6823636879355,-921.0710709004462,-1019.342789545599,-998.931604393036,-1119.914362096975,-1034.0711579303968,-1023.7465162459918,-1018.3175997386948,-866.5578390882891,-1015.3250833977594,-875.4836260986328,-867.4460737642157,-850.533154581495,-869.4543753431436,-966.7103192432817,-925.9530125053561,-890.1061603969998,-947.1501806130188,-1060.5923824693305,-1075.6429939119241,-793.5866659665437,-849.2764298624583,-849.2764298624583,-991.6654224127111
diagnostics_Image-original_Minimum,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,2931.0,3071.0,2148.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,2912.0,3071.0,2971.0,3027.0,3071.0,3071.0,2628.0,2628.0,3071.0
diagnostics_Mask-original_Hash,3f64f4af6f5c1fdf926ab04c20895c6075c106e3,1cb0b6d0e98be005b1feacb05b3ab6bbc9696bda,7a76bdb5bf1150d656ca0d37c25c4b54372b8dd1,c509af5755a1db30b6f118dd5b759c9717ee72f7,4fb78309504a3d9c3ef69b30c88c4d749bd77590,7b2ab7ef92ff723f5df8d06ae28bc36c93cc9c6c,e60e2b200e81462a29a6f0d1cd8907ec131a2233,1535a050074ff9f1471ce09b831b6689a8b64f2e,2028dfee5830c694d002ce6e812766ad070d4942,572ff3abccb6cf74cf207000ef9ab4f76beab133,8ec0fa7dc025bbf39c022e3d1f3639be9dd995a3,44d3cb0d9fbc84c3269427b64a57d676d70e433c,afc962a673a91a72af8943020dcaf807c75e0c71,2be827b595985430ec1a4743e4069bc2d9a19fa4,b712cd815d60af8389cee082de7f52acb8be465e,f59a85c4634bed0761f60a43aadf2cbc42497c79,cbd65a9bdefc1abde44d6b864ec519f04c456b06,eaad3f248b6b8cde14946e4577814c668d3358f9,35431c0b9556b4a824f475bdf0afd1fcf0547248,3fe583a0d0f38ed131287cab88c91e6f83cc7d92,2de28c9526bb22d1c2e1bc4d6c3359081900341b,1830b1f7e33c11424ef92903eda46021943f1999,1830b1f7e33c11424ef92903eda46021943f1999,3e47ea67c3771718c48279753e12847aebc5d8f9
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 236)","(512, 512, 237)","(512, 512, 265)","(512, 512, 249)","(512, 512, 253)","(512, 512, 253)","(512, 512, 261)","(512, 512, 261)","(512, 512, 253)","(512, 512, 225)","(512, 512, 225)","(512, 512, 189)","(512, 512, 193)","(512, 512, 213)","(512, 512, 249)","(512, 512, 245)","(512, 512, 225)","(512, 512, 281)","(512, 512, 249)","(512, 512, 253)","(512, 512, 217)","(512, 512, 221)","(512, 512, 221)","(512, 512, 213)"
diagnostics_Mask-original_BoundingBox,"(314, 107, 146, 96, 99, 42)","(193, 153, 93, 20, 18, 8)","(308, 309, 154, 84, 45, 19)","(127, 137, 55, 55, 67, 27)","(268, 174, 120, 66, 63, 34)","(196, 68, 102, 103, 109, 47)","(302, 110, 205, 43, 42, 23)","(274, 80, 91, 81, 98, 34)","(333, 334, 158, 44, 41, 18)","(196, 146, 105, 19, 21, 8)","(302, 275, 150, 59, 61, 31)","(330, 332, 95, 30, 32, 10)","(171, 157, 119, 66, 34, 22)","(254, 154, 99, 106, 103, 47)","(264, 103, 152, 68, 58, 26)","(317, 114, 136, 58, 59, 21)","(316, 395, 36, 34, 35, 11)","(272, 156, 122, 111, 83, 50)","(330, 336, 117, 56, 44, 31)","(247, 148, 199, 19, 17, 12)","(160, 417, 91, 75, 35, 19)","(152, 65, 125, 148, 120, 52)","(152, 65, 125, 148, 120, 52)","(266, 169, 141, 39, 43, 33)"
diagnostics_Mask-original_VoxelNum,130641,924,14248,40711,36572,209312,15272,87246,11207,865,33337,4433,18670,157862,24878,18727,4345,118827,22759,1479,19642,331077,331077,16573
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(360.88074953498517, 155.94423649543404, 165.73041388231871)","(202.1818181818182, 161.88203463203465, 96.8030303030303)","(344.5092644581696, 333.9294637843908, 162.59846996069624)","(154.0821645255582, 167.9698361622166, 68.29827319397705)","(304.64571256699116, 205.58714316963798, 137.22115279448758)","(244.46929941904907, 124.21893154716405, 127.33607724354074)","(320.50209533787324, 131.99364850707175, 216.35365374541644)","(315.96721912752446, 124.93379639181165, 104.9286614859134)","(354.0370304274114, 354.25573302400284, 165.29535111983583)","(204.58959537572255, 154.121387283237, 108.40462427745665)","(332.026697063323, 309.4544800071992, 164.45522992470828)","(344.32393413038574, 346.4762012181367, 99.67335889916535)","(203.37150508837706, 172.33535083020888, 128.60707016604178)","(311.3706718526308, 207.36695974965477, 120.65637708884975)","(296.5955060696197, 129.97720877884075, 166.74226223972988)","(346.6831313077375, 144.8343568110215, 146.1708762748972)","(331.74798619102415, 412.7014959723821, 40.31254315304948)","(336.95023016654466, 195.27513107290432, 148.4496789450209)","(357.6612329188453, 354.8034184278747, 133.29961773364383)","(256.14266396213657, 155.81473968897905, 204.4448951994591)","(195.404083087262, 434.0935749923633, 100.00570206699929)","(230.86987921238867, 124.15426924854339, 148.48202381923238)","(230.86987921238867, 124.15426924854339, 148.48202381923238)","(285.7465154166415, 190.58474627406022, 158.16333795933144)"
diagnostics_Mask-original_CenterOfMass,"(360.88074953498517, 155.94423649543404, 165.73041388231871)","(202.1818181818182, 161.88203463203465, 96.8030303030303)","(344.5092644581696, 333.9294637843908, 162.59846996069624)","(154.0821645255582, 167.9698361622166, 68.29827319397705)","(304.64571256699116, 205.58714316963798, 137.22115279448758)","(244.46929941904907, 124.21893154716405, 127.33607724354074)","(320.50209533787324, 131.99364850707175, 216.35365374541644)","(315.96721912752446, 124.93379639181165, 104.9286614859134)","(354.0370304274114, 354.25573302400284, 165.29535111983583)","(204.58959537572255, 154.121387283237, 108.40462427745665)","(332.026697063323, 309.4544800071992, 164.45522992470828)","(344.32393413038574, 346.4762012181367, 99.67335889916535)","(203.37150508837706, 172.33535083020888, 128.60707016604178)","(311.3706718526308, 207.36695974965477, 120.65637708884975)","(296.5955060696197, 129.97720877884075, 166.74226223972988)","(346.6831313077375, 144.8343568110215, 146.1708762748972)","(331.74798619102415, 412.7014959723821, 40.31254315304948)","(336.95023016654466, 195.27513107290432, 148.4496789450209)","(357.6612329188453, 354.8034184278747, 133.29961773364383)","(256.14266396213657, 155.81473968897905, 204.4448951994591)","(195.404083087262, 434.0935749923633, 100.00570206699929)","(230.86987921238867, 124.15426924854339, 148.48202381923238)","(230.86987921238867, 124.15426924854339, 148.48202381923238)","(285.7465154166415, 190.58474627406022, 158.16333795933144)"
original_shape_Elongation,0.8162877575271922,0.9057905948747361,0.29197681076980314,0.7385928306915724,0.9273298648369341,0.9421187218931332,0.7637152774557915,0.7039756717442202,0.9123209256595518,0.8166993716669327,0.9557734487529721,0.8910439648746004,0.5169213448593458,0.9092076193242697,0.7214643296519592,0.7588797976487145,0.8904992202666626,0.7702673647739303,0.706931616274139,0.8327284431193792,0.3894852957850955,0.7727962758837554,0.7727962758837554,0.8779105419794587
original_shape_Flatness,0.3892652995708204,0.3040537004211559,0.14200980543618327,0.40629599024999713,0.5474884927705282,0.3956558337485517,0.5601026893265226,0.409401291206953,0.4429100958224052,0.2613849206368071,0.6403510456434849,0.3769331339742099,0.3493514711664233,0.4033451703101119,0.34549289149701967,0.3498313876355274,0.31184708505367076,0.40874040145635626,0.5217261451169891,0.5954038314111545,0.27300734729627596,0.34525031082009666,0.34525031082009666,0.6033766548712763
original_shape_LeastAxisLength,33.57480721204847,5.28291771325615,12.315873044318945,23.597341057288464,27.529556534967547,36.959584134140094,21.240750667628372,32.286594291128736,15.875874092692916,5.022485943365449,27.688437248379138,10.077513661667396,18.9818272574689,36.16271659370866,20.056839889927957,16.920605522102658,9.025891986580943,34.98872717744934,26.56087226989019,9.788132812235556,18.0246888544955,41.9785465441071,41.9785465441071,21.999975984069483
original_shape_MajorAxisLength,86.25173435460584,17.374949576139304,86.72551171020005,58.07918764536375,50.2833518849978,93.4134694387667,37.922957829694816,78.86295178978274,35.844461985483186,19.214903182361333,43.23946597222339,26.735547377898886,54.33447065241177,89.65699667583712,58.05282940271717,48.367888417523666,28.943326454462554,85.60134269277832,50.909605582320054,16.43948576722609,66.02272441750279,121.58872918721663,121.58872918721663,36.46143052843655
original_shape_Maximum2DDiameterColumn,91.0823802938856,20.223748416156685,71.02112361825881,56.293871780150276,61.07372593840988,103.94229168149026,40.19950248448356,79.40403012442127,42.190046219457976,18.110770276274835,54.230987451824994,30.066592756745816,66.007575322837,100.0,67.1863081289633,58.42088667591412,34.058772731852805,109.45775440780794,54.56189146281496,18.439088914585774,72.3394774656273,146.4923206178399,146.4923206178399,41.036569057366385
original_shape_Maximum2DDiameterRow,93.34345183246653,17.029386365926403,37.48332962798263,61.5223536610881,66.48308055437865,110.0272693471941,42.579337712087536,96.0260381354974,39.11521443121589,21.587033144922902,60.01666435249463,30.59411708155671,33.734255586866,100.16985574512923,56.04462507680822,49.03060268852505,35.12833614050059,82.49242389456137,44.04543109109048,17.26267650163207,36.76955262170047,120.0,120.0,43.41658669218482
original_shape_Maximum2DDiameterSlice,103.58571330062848,20.12461179749811,82.97590011563598,70.3846574190711,68.0294054067798,109.288608738514,45.5411901469428,91.39474820797966,44.721359549995796,20.248456731316587,55.31726674375732,31.78049716414141,66.12110101926616,110.90987332063814,67.06713054842886,59.20304046246274,34.52535300326414,108.55873986004075,54.3415126767741,19.313207915827967,71.7007670809734,146.50938536489735,146.50938536489735,41.10960958218893
original_shape_Maximum3DDiameter,103.98557592281729,20.223748416156685,87.64131445842195,71.34423592694787,69.13031173081747,114.59057552870567,46.05431575867782,99.14131328563285,47.43416490252569,21.93171219946131,61.814237842102365,33.075670817082454,66.12110101926616,113.21660655575224,68.54195795277518,61.163714733492114,35.14256678161116,111.43608033307704,59.15234568468101,19.6468827043885,75.49172140042907,148.61359291801003,148.61359291801003,46.32493928760188
