0,1Test,2Test,3Test,4Test,5Test,6Test,7Test,8Test,9Test,10Test,11Test,12Test,13Test,14Test,15Test,16Test,17Test,18Test,19Test,20Test,21Test,22Test,23Test,24Test
original_shape_MeshVolume,129943.79166666667,906.875,14147.875,40492.5,36280.916666666664,208547.08333333334,15148.375,86652.125,11092.083333333334,843.7083333333334,33109.416666666664,4409.833333333333,18569.791666666668,156983.66666666666,24675.791666666668,18592.958333333332,4297.791666666667,118082.33333333333,22644.0,1458.875,19564.958333333332,329781.7916666667,329781.7916666667,16441.166666666668
original_shape_MinorAxisLength,70.40623481915229,15.738065912489763,25.32183832152343,42.896871607256216,46.62925390706301,88.00657843525413,28.962342260849656,55.51759946194435,32.701652738364636,15.692799355675447,41.32713351450874,23.822548138695748,28.08664764186535,81.51682450340184,41.8830456494309,36.70541337498596,25.77400963962237,65.9359206570765,35.98960975818845,13.689627388625375,25.714880348288922,93.96331710531949,93.96331710531949,32.00987423656612
original_shape_Sphericity,0.5285813494434932,0.6144578545621532,0.46370753866766407,0.6423677200990716,0.4897520032977074,0.6426521939119082,0.6467856295976603,0.5570874124385816,0.5447485468810548,0.5545132436327999,0.6703070000200365,0.6725495611727276,0.5097940489708852,0.42897138090301057,0.45498429739697116,0.5790936144544022,0.5813381545103896,0.46716937388729857,0.45348721875998527,0.7117952622062337,0.5641171987737449,0.5869048849143219,0.5869048849143219,0.6209969469555054
original_shape_SurfaceArea,23471.597322009595,737.3782288195579,6100.528271247806,8877.352726297584,10821.648022187688,26463.312798116927,4577.564377232906,16998.617071081626,4415.332965989472,778.6944761124898,7438.945710611548,1933.635517807843,6652.129838158203,32806.4157767843,9008.831127765645,5860.945447837009,2198.967799619786,24915.314752500086,8535.346781408824,873.9255158865202,6224.446455627379,39330.92698429813,39330.92698429813,5035.196388085305
original_shape_SurfaceVolumeRatio,0.18062884744982052,0.8130979780229446,0.4311974958251897,0.21923449345675333,0.2982738314362975,0.12689370848605455,0.3021818760911917,0.19617080447919338,0.398061647510414,0.9229427342930394,0.22467764338780402,0.43848267534098256,0.3582231808286237,0.20897980327115326,0.36508782573064263,0.31522393277940847,0.5116506266869115,0.21099951236707795,0.3769363531800399,0.5990407100584493,0.31814258684224367,0.11926348870119738,0.11926348870119738,0.3062554191056173
original_shape_VoxelVolume,130641.0,924.0,14248.0,40711.0,36572.0,209312.0,15272.0,87246.0,11207.0,865.0,33337.0,4433.0,18670.0,157862.0,24878.0,18727.0,4345.0,118827.0,22759.0,1479.0,19642.0,331077.0,331077.0,16573.0
original_firstorder_10Percentile,-280.0,-615.0,-458.0,-297.0,-526.8999999999996,-192.0,-377.0,-203.0,-646.3999999999999,-726.5999999999999,-436.39999999999964,-601.8,-96.0,-202.0,-592.0,-584.3999999999999,-825.0,-252.0,-595.0,-611.2,-203.0,-150.0,-150.0,-726.0
original_firstorder_90Percentile,156.0,168.0,175.0,141.0,127.0,124.0,160.0,141.0,148.0,209.60000000000002,183.40000000000146,146.0,160.0,168.0,144.0,124.0,-164.0,140.0,113.0,146.20000000000005,185.0,186.0,186.0,187.0
original_firstorder_Energy,5966426503.0,116677742.0,936112418.0,1906005187.0,2972103426.0,8667161427.0,790351568.0,4105134637.0,1532739419.0,132997836.0,2297303945.0,424209886.0,611322523.0,6439012067.0,2471822934.0,1659806712.0,1419032676.0,4935177034.0,2662603647.0,159773843.0,658525527.0,8937016569.0,8937016569.0,2390467062.0
original_firstorder_Entropy,4.665916148771882,5.52367554283913,4.9374121154012,4.546493276333665,4.927184812717969,4.209575689614992,4.928583170145082,4.637791041148846,5.539756687029113,5.5032908433742405,5.034642422809593,5.133784355555278,4.250403850207349,4.63069329776029,4.939297771519026,4.979677038026401,5.348018549836974,4.57894313077353,5.367447677611064,5.312191712759036,4.679366782224441,4.556638261915847,4.556638261915847,5.409886050717738
original_firstorder_InterquartileRange,161.0,409.5,224.0,144.0,262.0,105.0,223.0,160.0,468.0,509.0,220.0,336.0,108.0,159.0,207.0,299.0,349.0,151.0,402.0,434.0,175.0,167.0,167.0,458.0
original_firstorder_Kurtosis,7.893719870686823,2.8135867018717935,4.499107245897391,8.030538648770278,4.561162378657777,10.513035728287425,4.92898395561675,21.732701191051195,2.5438756475713062,2.658109381894605,5.387380858771818,3.3898631016312737,13.19210655845913,9.377509069150765,5.09457777149593,3.7081802580118897,3.2222596387483473,9.04866359282368,3.0121315999462293,2.4574121873317702,6.842374494333468,9.596355319685793,9.596355319685793,2.951482425373196
original_firstorder_Maximum,633.0,622.0,504.0,434.0,518.0,499.0,557.0,2310.0,505.0,488.0,553.0,406.0,607.0,966.0,472.0,426.0,423.0,519.0,551.0,361.0,588.0,1187.0,1187.0,590.0
original_firstorder_MeanAbsoluteDeviation,141.70414360711294,243.17841682127394,189.07271294476823,141.28214041517504,204.77530728744918,121.02716831757567,165.2483187184248,127.29206236045414,256.33604258654606,298.56558922783915,183.66340737704982,229.60068349019252,104.09510978173898,131.47269733300956,216.29970370529983,217.093916610545,206.52412960944753,131.7681310783578,228.72974694170827,242.50020366263593,128.6611527277064,113.872645305677,113.872645305677,287.49468774301596
original_firstorder_Mean,-27.00359764545587,-190.88095238095238,-49.2798989331836,-31.55999606985827,-99.45964125560538,-19.236914271518117,-51.60123101100052,-14.147456616922266,-205.23449629695725,-158.3514450867052,-54.54267030626631,-116.28739002932551,17.80862346009641,-10.149503997162078,-99.31819278077016,-114.5312116195867,-509.1166858457998,-33.486665488483254,-195.96603541456128,-159.79918864097363,2.090265757051217,15.348076127305733,15.348076127305733,-147.18156036927533
original_firstorder_Median,22.0,-162.5,32.0,24.0,1.0,29.0,7.0,6.0,-156.0,-32.0,10.0,-6.0,44.0,27.0,0.0,-5.0,-537.0,10.0,-146.0,-81.0,32.0,31.0,31.0,-8.0
original_firstorder_Minimum,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1007.0,-1024.0,-1024.0,-1024.0,-1024.0
original_firstorder_Range,1657.0,1646.0,1528.0,1458.0,1542.0,1523.0,1581.0,3334.0,1529.0,1512.0,1577.0,1430.0,1631.0,1990.0,1496.0,1450.0,1447.0,1543.0,1575.0,1368.0,1612.0,2211.0,2211.0,1614.0
original_firstorder_RobustMeanAbsoluteDeviation,72.8792234777795,174.4055576499642,112.07109558307083,67.83631828620773,125.22220266900483,47.362162327136055,101.24821276038197,68.45397559160452,190.8122866833089,217.24422542467664,103.5168358686722,153.95928286330428,46.658764752274436,68.8178826974936,115.07834740536141,139.77942501764937,144.4999463166939,67.26694033861867,165.6257041747087,182.92484756936284,75.30904803745092,70.1984190530549,70.1984190530549,202.03435956261342
original_firstorder_RootMeanSquared,213.7063365695323,355.3513930662332,256.32268870853295,216.3745381917124,285.073996104431,203.48920683700032,227.4899430193799,216.915676818853,369.81921925442776,392.1157019291908,262.51007234163626,309.34387897825434,180.95185494558635,201.9625377374526,315.21069674538717,297.71084335094645,571.4803573608212,203.79513004795757,342.03982326037476,328.67657569884256,183.10215424765866,164.29781051427253,164.29781051427253,379.7876313209298
original_firstorder_Skewness,-2.0048672439608652,-0.3986206072463366,-1.4087639988306346,-2.151250279258467,-1.4662124818044255,-2.637568121959079,-1.3275135598630265,1.2113693692541077,-0.5169720584437303,-0.806856780981738,-1.5380393781098842,-1.143150993575233,-2.6768446344535834,-2.1189774100352685,-1.6615512661853464,-1.2821211179451333,0.5850957869234008,-2.157622149558434,-0.7453006724770139,-0.6680350728729464,-1.5492859738943034,-1.646062887485624,-1.646062887485624,-0.9831446746683036
original_firstorder_TotalEnergy,5966426503.0,116677742.0,936112418.0,1906005187.0,2972103426.0,8667161427.0,790351568.0,4105134637.0,1532739419.0,132997836.0,2297303945.0,424209886.0,611322523.0,6439012067.0,2471822934.0,1659806712.0,1419032676.0,4935177034.0,2662603647.0,159773843.0,658525527.0,8937016569.0,8937016569.0,2390467062.0
original_firstorder_Uniformity,0.05522273397535554,0.02471139971139971,0.04713397327394631,0.062178218461702135,0.04822451039781361,0.08212548404226154,0.0440475947107262,0.056495998200712064,0.02421090197891828,0.027402185171572724,0.04154784687095944,0.03935655969886048,0.07847801109049028,0.05586145940940122,0.047083808700260625,0.045780355808930084,0.028292297933818086,0.05864227476283055,0.028244041593430975,0.030358304521127658,0.05139540281993618,0.054592103936778075,0.054592103936778075,0.03077679956030985
original_firstorder_Variance,44941.20400417256,89839.07457225313,63272.81230790668,45821.90742574732,71374.96301625541,41037.79842846176,49088.987133110066,46852.26032105338,94645.05645968871,128679.54353837417,65936.63519667303,82170.87838148039,32426.426738705035,40685.85421796355,89493.67992547424,75514.34781368122,67389.99904264124,40411.09826572637,78588.5536598873,82492.5107228035,33522.029679198284,26758.207098974217,26758.207098974217,122576.23319162788
original_glcm_Autocorrelation,1720.5532927410363,1293.570945616072,1705.541048926718,1717.298606350309,1517.5683845218946,1745.0354265809603,1654.4190648634137,1738.731123979915,1232.9767632432045,1426.3873760348702,1669.9956763473263,1553.5191637764744,1846.5911628943518,1759.3152026788853,1532.6566414775957,1514.9758017125096,548.3937400829032,1682.4224452199924,1261.5435419381974,1412.8275760749975,1790.9516688586891,1808.9512076875294,1808.9512076875294,1460.3072126332413
original_glcm_ClusterProminence,287594.82552733354,331059.02124767366,292225.14887478214,284230.7077766502,500242.0192243913,281617.5147215669,195741.2173701582,1154981.8011094336,492155.20646920806,662656.1815130727,378709.4290286983,447317.53030439984,183722.6998153644,257785.3887097171,764136.8597289436,631974.2461352928,355828.38772833993,296603.56840445,330443.18948139704,288402.05278138304,109124.82262245644,104640.17568563699,104640.17568563699,1000460.9320564576
original_glcm_ClusterShade,-5033.803106637895,-2212.601275753165,-5494.772624583189,-5248.655963610711,-8629.07470378394,-5080.0032340981215,-3780.08449492182,5824.236867483667,-4977.948125841047,-8674.67804151562,-6545.608107229693,-7940.855409016817,-3043.119516046515,-4191.602363726817,-12027.807647275566,-11018.177838833133,3498.5816936352485,-5006.695111287974,-4124.543834141118,-4532.2521406070355,-2156.4639282262724,-1654.080113917784,-1654.080113917784,-13919.302786741338
original_glcm_ClusterTendency,168.59951175007015,337.2973179614,226.63588283972743,164.5637983765507,305.58378265410516,140.9613546066568,182.49213969758253,199.28164409668457,427.24509633588525,443.82770849941187,230.65093396428875,313.66316215279784,105.44403244156518,145.88207154952462,345.5281311024039,360.56695143311396,319.9664833830853,154.54442206817984,326.87242330013527,312.8512331545131,115.73440597107879,90.26353117524067,90.26353117524067,530.0358515474843
original_glcm_Contrast,61.01886668556912,191.32327971489894,88.29107172393945,60.17211406448697,105.18070866565222,48.9179605212527,78.97615244573451,64.10864524602924,155.1473712089933,267.00095057590966,100.38911860028335,100.7063980583516,49.653028757030626,60.669596943962,148.93511437240826,71.60787874666885,96.83606156053975,61.59952176732534,116.7971340976559,145.87948527516812,62.6729165682556,55.92335839303493,55.92335839303493,164.89931460681595
original_glcm_Correlation,0.4646339094358976,0.27643801822178565,0.4359422029409717,0.4612170365205866,0.48687655687016806,0.47623898715954,0.3941069761457502,0.5102067611833185,0.4678007543806215,0.2505051139850273,0.39180812068357496,0.5115927186513787,0.3518991485662928,0.4084105817855479,0.39672165748754584,0.667491240334334,0.5356877219029458,0.42879745483826165,0.4729642422679484,0.36451026386653,0.2963785925513313,0.23312205506710496,0.23312205506710496,0.5236959227374247
original_glcm_DifferenceAverage,5.373578439010095,10.603065349533283,6.299494285504886,5.1102132818877,6.84045751424263,4.21924241110286,6.408179242025786,5.139109452546885,9.444499031495774,11.930443937887635,7.173895212513742,6.982835348116411,4.21058882533559,5.333052315894769,7.944919470091012,5.776380689081372,7.5723113637334665,5.41704737747592,7.776938239066014,8.990225988319267,5.846758869342299,5.592949649903949,5.592949649903949,8.888702419424627
original_glcm_DifferenceEntropy,3.906620528604334,4.776692668500851,4.128918051927571,3.8367161465890143,4.252551700986548,3.532361150705152,4.162615318415569,3.833427686599443,4.680817980758038,4.9459686670679215,4.317417703251999,4.270069039521519,3.5245668418960756,3.897781701763757,4.429484699883734,4.023167734328977,4.338198778794673,3.928777977753064,4.436365074307111,4.596944659774662,4.024037607479402,3.9529351174762857,3.9529351174762857,4.608524726056093
original_glcm_DifferenceVariance,31.581287557783,77.01773953358287,47.844012684005335,33.88932042270727,57.81589030411931,30.813661169655646,37.336245397268165,37.537757593491435,64.31258163204515,122.23745545890925,48.416307943039605,50.977411503107334,31.687411367224207,31.90143184928168,85.07092643778013,37.693145936754306,38.092241463851316,32.014935535155196,55.2484585246294,64.00678316058907,28.278776688487884,24.332565930860763,24.332565930860763,83.2771992815129
original_glcm_Id,0.29077814113316197,0.17665251968952456,0.2840280249266446,0.30604985805555873,0.27557037451528577,0.3537692754889527,0.258237813707145,0.29885796917015206,0.1973740646848581,0.19176915535345482,0.24005571431591594,0.26244858966328444,0.35329632056479243,0.2880798032767489,0.2591462492925349,0.2918089753403834,0.21814654695158353,0.28647135828549486,0.23411941517740126,0.21452646876642237,0.2610973282312547,0.2653646516668715,0.2653646516668715,0.23624668536369903
original_glcm_Idm,0.20118010488082236,0.09665142740595245,0.19886365984418003,0.2170196395538776,0.1914489509988743,0.26940210584775015,0.16974179748100315,0.20810356838119334,0.11555346190646934,0.11704627008536139,0.15191345921016922,0.17744306569066423,0.2683729733413229,0.19710333272031408,0.17528086406898236,0.2056397512338532,0.13024340683903493,0.19608479496987077,0.14879138231541483,0.13295178382125045,0.16934280910528468,0.17309045517003557,0.17309045517003557,0.15514930293437804
original_glcm_Idmn,0.9875411627888601,0.9616727589169519,0.9796438635077069,0.984688161759416,0.9762234440459915,0.9884747644727626,0.9823572094716125,0.9966059835632792,0.9646084311233415,0.9419732260562144,0.9781908337658961,0.9737335841703967,0.9899273787095255,0.9911629680254269,0.9662854517480158,0.9815124229225198,0.9738284285727166,0.9855677263362298,0.9747347095166273,0.9598101583726423,0.9861786489553774,0.9931862003486744,0.9931862003486744,0.9668042059994478
original_glcm_Idn,0.9306353221400934,0.8719945986106381,0.9158351958955977,0.9266176973844135,0.9100118305292866,0.9408042415692736,0.9151154472488112,0.9646885102252332,0.877853739352951,0.8538273096340986,0.9066892579314842,0.9020376173713763,0.9449280998147906,0.9410895211071075,0.896490787536772,0.9179807932220709,0.8918992323758995,0.9251731351644179,0.900148056893157,0.8735864531317853,0.9221080431029556,0.9432518429533686,0.9432518429533686,0.8915671062436298
original_glcm_Imc1,-0.04489380649330355,-0.2373641798349337,-0.0637879490533112,-0.04507176690745717,-0.054129304627218405,-0.05030265364782572,-0.050170392300629585,-0.05413132558888668,-0.06158497294322696,-0.2627344688013321,-0.04139307769688294,-0.10337798410651639,-0.06605270505225933,-0.03436117472384999,-0.043550807784737536,-0.09001749045937202,-0.10224273474102225,-0.036251430699590644,-0.05984736546832438,-0.15556925495143792,-0.03254440135512276,-0.016703657184701143,-0.016703657184701143,-0.07256594613298141
original_glcm_Imc2,0.5374684825450062,0.9613081595090165,0.6531686043324935,0.5607174251968132,0.6232588704648414,0.5501781203603473,0.5988017875836249,0.6162210286977723,0.6874693503486495,0.9695544592445959,0.5610210766269608,0.7909508603397614,0.6357006278682424,0.4894725438077356,0.5714412074812667,0.7506708151248016,0.8065086096190656,0.5075341654483728,0.6656662432974012,0.8934368512566194,0.4997515417286649,0.33708436163728095,0.33708436163728095,0.7117639870299143
original_glcm_InverseVariance,0.20704615271832594,0.10278632945223684,0.2053847258084059,0.2240716153270498,0.1957889128745453,0.27487945363208094,0.17690891937642034,0.2156180951778819,0.11858202971608457,0.12489703613840866,0.1574016399184338,0.1823793841910935,0.27399700293553697,0.20346622646570756,0.17647163430638305,0.2110223110119824,0.13556566257432384,0.20197397580660922,0.15380203388854125,0.13846610900418993,0.1757857538147139,0.1796328857931814,0.1796328857931814,0.1538473202276404
original_glcm_JointAverage,41.15386274300165,35.454868588799144,40.876927155657754,41.123980895763985,38.30739970112503,41.49703690852804,40.35502715186644,41.29086750012413,34.13133219987192,37.1770492976336,40.46492220198361,38.73238482889131,42.809304993245114,41.68938314567734,38.51621911021323,37.982861266394806,22.19420048247686,40.73305144884308,34.77089802398392,37.0279019112617,42.162549990217094,42.43068679912887,42.43068679912887,36.99988590619327
original_glcm_JointEnergy,0.004263670887376684,0.0015205887528232168,0.004021529846851584,0.005620562480596828,0.0039729466832296905,0.009346071338056306,0.002989523270062712,0.004182891071297679,0.0008786141004024622,0.002106001964107336,0.0025474391815927372,0.003143559761421659,0.00872152893315879,0.004062055784191788,0.0033954265463934626,0.004110246034530375,0.0011836087549313007,0.004525828584202745,0.001352227611497992,0.002101010276140606,0.00327886907776549,0.003386714455674529,0.003386714455674529,0.001885061124020205
original_glcm_JointEntropy,8.874689238620002,9.602067707725995,9.180933051734549,8.576044754118422,9.371365587515877,7.909888621861768,9.347858009155688,8.852671750035713,10.661117261913786,9.309958747078346,9.570430890309465,9.357765137375456,7.944480877815533,8.87758850181543,9.419165279577006,9.23430932289234,10.130313641374062,8.781351253572916,10.241044223296198,9.517158835663567,9.011019326715275,8.90008883177968,8.90008883177968,10.232192409409521
original_glcm_MCC,0.5407815747688601,0.4735078735788496,0.5006210267961796,0.538790587977044,0.5405199392866127,0.5797928099114574,0.4616711338453285,0.7085085621990255,0.4863511783487727,0.5058403739749335,0.49386264929135126,0.562207264870564,0.5436551183080592,0.5243504862678755,0.4611067784516425,0.7211371233976052,0.5920706806661732,0.5419247503367519,0.5243287853574162,0.4557714799381023,0.41601344548158087,0.4608936335275346,0.4608936335275346,0.5727737885126118
original_glcm_MaximumProbability,0.010522678692028367,0.0055245860899013535,0.012465256257979748,0.013987402806684389,0.012539166054057863,0.02280143166648613,0.008950814169526249,0.010500346871936907,0.0035319923596478864,0.009464244523622035,0.006656256880257523,0.010638422403567058,0.022094720173655234,0.0097983587354843,0.010612135474508446,0.013389216095256968,0.0038191037261260546,0.011155627511480649,0.0055789070628853065,0.009241430803203153,0.007910429886005108,0.007451410004657357,0.007451410004657357,0.007722180466047652
original_glcm_SumAverage,82.30772548600329,70.90973717759825,81.75385431131551,82.24796179152801,76.61479940225004,82.99407381705609,80.71005430373287,82.58173500024826,68.26266439974384,74.35409859526723,80.92984440396728,77.46476965778263,85.61860998649027,83.3787662913547,77.03243822042644,75.9657225327896,44.38840096495368,81.46610289768617,69.54179604796788,74.05580382252339,84.32509998043423,84.86137359825774,84.86137359825774,73.99977181238661
original_glcm_SumEntropy,5.238312428754701,6.091034281825069,5.516041439052062,5.0794977912617965,5.599417443882765,4.7479819945400425,5.475921860818631,5.2793383097410205,6.2972298143079275,6.088478134941637,5.5241779901363985,5.714300957787755,4.801883487775668,5.212484507719013,5.620055464984091,5.622447537909389,6.1328599169109275,5.112049079594552,6.085144923520375,5.903326093141587,5.203333597034757,5.072606371458974,5.072606371458974,6.1582621043572345
original_glcm_SumSquares,57.404594608909754,132.1551494190748,78.73173864091673,56.18397811025943,102.69112282993933,47.46982878197735,65.36707303582928,65.8475723356786,145.59811688621966,177.70716476883032,82.76001314114302,103.59239005278741,38.774265299649,51.637917123371686,123.615811368703,108.04370754494565,104.20063623590637,54.03598595887633,110.9173893494477,114.68267960742023,44.60183063483358,36.546722392068915,36.546722392068915,173.73379153857502
original_gldm_DependenceEntropy,6.970961202388137,6.741132581431515,7.110798016784594,6.847697845185909,7.0958252718886765,6.765655569848722,6.996637276555792,6.995783736600753,7.308842269787275,6.729443117780102,7.0081633663478105,7.118735849631968,6.771016992195148,6.917372341946912,7.0077947477633336,7.250496114359917,7.1564104616801005,6.811386929228964,7.375710260239499,6.8853142073811995,6.752712615170064,6.714822433478196,6.714822433478196,7.453632342926754
original_gldm_DependenceNonUniformity,25229.428579083135,394.3073593073593,2972.354295339697,7389.321141706173,7578.558022530898,29820.828724583396,3598.6770560502882,16590.845608967746,3609.640849469082,349.9248554913295,8357.806131325555,1041.6433566433566,2852.351044456347,31545.873522443653,5631.409357665407,3644.6413734180596,1345.5937859608746,23796.329781951914,6058.144690012742,474.894523326572,4639.151104775481,73542.40168601261,73542.40168601261,4149.281059554697
original_gldm_DependenceNonUniformityNormalized,0.19312029591845697,0.42673956634995597,0.20861554571446497,0.1815067461301902,0.2072229580698594,0.14247070748253038,0.23563888528354426,0.1901616762827837,0.3220880565244117,0.4045374051922884,0.25070660621308316,0.23497481539439583,0.15277723858898484,0.19983196413604068,0.22636101606501355,0.19461960663309977,0.3096878678851265,0.2002602925425359,0.26618676963015697,0.32109163172858146,0.2361852716004216,0.22213080850077963,0.22213080850077963,0.25036390874040293
original_gldm_DependenceVariance,2.830383188469516,0.8094207379921665,3.0328841330331615,3.125739074198175,3.3255928093981457,4.575570630989249,2.2985828857599073,2.6760637304017934,1.324495616924275,1.3023702763206255,1.8988985783360934,2.779205992991167,4.156712649923731,2.579346749397863,2.9676462781593083,3.399945113855246,1.157867315711484,2.8076625282399506,1.948359583496548,1.6977134468998252,1.9295050583740372,2.0149965837772914,2.0149965837772914,3.1982921087652416
